Source,Headline,Scraped At,Category
BBC,Trump wants neighbours to take in Palestinians to 'clean out' Gaza,2025-01-26 21:21:49.119950,Politics
BBC,Live.Trump orders 25% tariffs on Colombia after US planes deporting migrants turned back,2025-01-26 21:21:49.119950,Politics
BBC,Survivors return as world remembers Auschwitz 80 years after liberation,2025-01-26 21:21:49.119950,History
BBC,UK hit with high winds as Storm Herminia rolls in,2025-01-26 21:21:49.119950,Sports
BBC,Starmer praises Trump's role in Gaza ceasefire and hostage deal,2025-01-26 21:21:49.119950,Politics
BBC,"Community hubs offering support as 74,000 still without power",2025-01-26 21:21:49.119950,Other
BBC,'I spent 30 years searching for secret to happiness - the answer isn't what I thought',2025-01-26 21:21:49.119950,Other
BBC,Vicky Pattison's sex tape warning and The Weeknd's final chapter: This week's big releases,2025-01-26 21:21:49.119950,Entertainment
BBC,Chancellor hints at support for third runway at Heathrow,2025-01-26 21:21:49.119950,Other
BBC,Man arrested for attempted murder after police officer hit by car,2025-01-26 21:21:49.119950,Crime
BBC,DR Congo rebels close in on key city as 13 peacekeepers killed,2025-01-26 21:21:49.119950,Crime
BBC,Wynne Evans apologises for 'inappropriate' comment at Strictly tour,2025-01-26 21:21:49.119950,Other
BBC,Merciless Sinner wins back-to-back Melbourne titles,2025-01-26 21:21:49.119950,Sports
BBC,"'My story on Tinder predator went live, then my phone rang - it was him'",2025-01-26 21:21:49.119950,Other
BBC,"Confident, organised, still freewheeling: Trump 2.0 has learned from past",2025-01-26 21:21:49.119950,Politics
BBC,The 2010s lost classics that became sleeper hits a decade on,2025-01-26 21:21:49.119950,Other
BBC,Holocaust survivors fear Europe is forgetting the lessons of Auschwitz,2025-01-26 21:21:49.119950,History
BBC,Nick Cave says work repelled him after death of sons,2025-01-26 21:21:49.119950,Other
BBC,'I don't want to buy a £4 coffee just so I can use the loo',2025-01-26 21:21:49.119950,Other
BBC,Mexican workers set up tent city to house deportees from US,2025-01-26 21:21:49.119950,Other
BBC,Huge crowds await return to north Gaza after delays,2025-01-26 21:21:49.119950,Politics
BBC,Man charged with murdering lecturer,2025-01-26 21:21:49.119950,Crime
BBC,How texting a random number 'hello' led a man to meet his future wife,2025-01-26 21:21:49.119950,Other
BBC,Lebanon says 22 killed by Israeli forces after withdrawal deadline missed,2025-01-26 21:21:49.119950,Crime
BBC,Comedian Josh Jones exits Dancing on Ice after injury,2025-01-26 21:21:49.119950,Other
BBC,Reeves urges platforms to remove violent content viewed by Southport killer,2025-01-26 21:21:49.119950,Entertainment
BBC,Holly Willoughby speaks of 'tough' year after kidnap plot,2025-01-26 21:21:49.119950,Other
BBC,Watch live on iPlayer,2025-01-26 21:21:49.119950,Other
BBC,Listen to Live News on Sounds,2025-01-26 21:21:49.119950,Other
BBC,"Is this a Rachel Reeves reset? Audio, 32 minutesIs this a Rachel Reeves reset?",2025-01-26 21:21:49.119950,Entertainment
BBC,"Bonus Q&A: Trump returns to the White House. Audio, 48 minutesBonus Q&A: Trump returns to the White House",2025-01-26 21:21:49.119950,Politics
BBC,Could AI solve a murder case?,2025-01-26 21:21:49.119950,Crime
BBC,Can't get enough of The Traitors?,2025-01-26 21:21:49.119950,Other
BBC,A GP under suspicion following an unexpected death,2025-01-26 21:21:49.119950,Sports
BBC,An epic sequel starring Ryan Gosling and Harrison Ford,2025-01-26 21:21:49.119950,Entertainment
BBC,Gareth Southgate soundtracks his life,2025-01-26 21:21:49.119950,Other
BBC,The classic reality show starring Paris Hilton,2025-01-26 21:21:49.119950,Entertainment
BBC,The astonishing story of a secret British Army agent,2025-01-26 21:21:49.119950,Other
BBC,Live.NFL play-offs Championship games: Commanders fight back after Barkley touchdowns for Eagles - radio & text,2025-01-26 21:21:49.119950,Other
BBC,Live.Premier League: Martinez's deflected strike gives Man Utd win at Fulham - report & reaction,2025-01-26 21:21:49.119950,Sports
BBC,Live.WSL: Man Utd go second with dominant win over Brighton - reaction & report,2025-01-26 21:21:49.119950,Sports
BBC,Postecoglou unsure on future - but why do many Spurs fans blame Levy?,2025-01-26 21:21:49.119950,Other
BBC,'Sinner will be one of greatest players we've ever seen',2025-01-26 21:21:49.119950,Other
BBC,Man charged with murdering university lecturer,2025-01-26 21:21:49.119950,Crime
BBC,Storm Éowyn: Teenager dies after car hit by falling tree,2025-01-26 21:21:49.119950,Other
BBC,Find your regional news,2025-01-26 21:21:49.119950,Other
